,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
32,TL,"F, C",-34.089974935636256,78.17994987127251,82.63180866075334,35.53526908977983,51.584613590161936,0.9983753796236735,0.9975439170481241
31,TL,"E, C",-34.089974935636256,78.17994987127251,82.63180866075334,35.53526908977983,51.584613590505725,0.997850392896405,0.9980821214767981
30,TL,"E, F",-34.089974935636256,78.17994987127251,82.63180866075334,35.53526908977983,51.584613590505725,0.997850392896405,0.9980821214767981
29,TL,None,-34.08964473287718,74.17928946575437,76.85040473944287,35.518879556726006,51.584613590505725,0.9998104401333399,0.9998900294628731
28,NB2,None,-37.76361559244216,79.52723118488431,81.30797470067664,174.18503981220044,51.58461359038884,0.9942612419640048,0.9955860955589191
27,GM,"E, F, C",-34.08964473287721,78.17928946575442,82.63114825523525,35.51887955672751,51.58461359038884,0.9978510418797952,0.9980830324594409
26,GM,"F, C",-34.08964473287721,76.17928946575442,79.74077649733908,35.518879556728585,51.58461359038884,0.9985673612531969,0.9986688875374438
25,GM,"E, C",-34.08964473287721,76.17928946575442,79.74077649733908,35.518879556728585,51.58461359038779,0.9985673612531969,0.9986688875374438
24,GM,"E, F",-34.08964473287721,76.17928946575442,79.74077649733908,35.518879556728585,21.188325922541743,0.9985673612531969,0.9986688875374438
23,GM,C,-34.08964473287721,74.17928946575442,76.85040473944292,35.51887955672905,21.18848136271007,0.9992836806265983,0.9992547426154467
22,GM,F,-34.08964473287721,74.17928946575442,76.85040473944292,35.51887955672905,21.18848136271007,0.9992836806265983,0.9992547426154467
21,GM,E,-34.08964473287721,74.17928946575442,76.85040473944292,35.51887955672905,21.18848136271007,0.9992836806265983,0.9992547426154467
20,GM,None,-34.089644732877154,72.17928946575431,73.96003298154663,35.518879556723,21.18848971475602,1.0,1.0
19,DW3,"E, F, C",-34.009895593962106,80.01979118792421,85.3620217353012,32.62694115595901,21.18848971475602,0.9977922615938795,0.9964649501368387
18,DW3,"F, C",-34.009895593962135,78.01979118792427,82.4716499774051,32.6269411558395,21.18848971475602,0.9979844364521733,0.9982563625940777
17,DW3,"E, C",-34.009895593962135,78.01979118792427,82.4716499774051,32.6269411558395,21.188521166984984,0.9979844364521733,0.9982563625940777
16,DW3,"E, F",-34.009895593962135,78.01979118792427,82.4716499774051,32.6269411558395,25.601143176595492,0.9979844364521733,0.9982563625940777
15,DW3,C,-34.009895593962135,76.01979118792427,79.58127821950893,32.626941156014524,26.817578038897295,0.9987007558255709,0.9988422176720728
14,DW3,F,-34.009895593962135,76.01979118792427,79.58127821950893,32.626941156014524,26.817578038897295,0.9987007558255709,0.9988422176720728
13,DW3,E,-34.009895593962135,76.01979118792427,79.58127821950893,32.626941156014524,26.817578038897295,0.9987007558255709,0.9988422176720728
12,DW3,None,-34.009895593962106,74.01979118792421,76.69090646161271,32.62694115595303,26.82151522527316,0.9999438786300038,0.9999836153982034
11,DW2,"E, F, C",-49.14203590491956,108.28407180983912,112.73593059931994,714.3397089402022,26.82151522527316,0.9697621625902653,0.9781202818885322
10,DW2,"F, C",-49.14203590491936,106.28407180983872,109.84555884142338,714.3397065271071,26.82151522527316,0.9704784820164937,0.9795528064523751
9,DW2,"E, C",-49.14203590491936,106.28407180983872,109.84555884142338,714.3397065271071,26.818598577010864,0.9704784820164937,0.9795528064523751
8,DW2,"E, F",-49.14203590491936,106.28407180983872,109.84555884142338,714.3397065271071,23.83028817677754,0.9704784820164937,0.9795528064523751
7,DW2,C,-49.142035904919474,104.28407180983895,106.95518708352745,714.3397065354987,23.830288176924356,0.9711948013897114,0.9809853310162175
6,DW2,F,-49.142035904919474,104.28407180983895,106.95518708352745,714.3397065354987,23.830288176924356,0.9711948013897114,0.9809853310162175
5,DW2,E,-49.142035904919474,104.28407180983895,106.95518708352745,714.3397065354987,23.830288176924356,0.9711948013897114,0.9809853310162175
4,DW2,None,-49.14203590491939,102.28407180983878,104.0648153256311,714.3397062730689,23.830288176839083,1.0,1.0
3,S,None,-34.086117185196024,74.17223437039205,76.84334964408055,35.26504044223269,23.830288176839083,0.9998190987514841,0.9998941690542675
2,IFRGSB,None,-33.99593347582822,73.99186695165643,76.66298222534493,30.62399341026259,23.830288176839083,1.0,1.0
1,IFR SB,None,-887.5898811715497,1779.1797623430994,1780.9605058588918,11452.024067862892,64.99999999999984,0.0,0.0
